l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160357216,1702647477,1702646015,-1462,0xad8663715b08f41a3aec47cc,443529,1584880,57075900189
160357217,1702647477,1702646015,-1462,0xad8663715b08f41a3aec47cc,443530,1602760,57075900189
160357218,1702647477,1702646015,-1462,0xad8663715b08f41a3aec47cc,443531,1590276,57075900189
160360326,1702648257,1702646771,-1486,0xad8663715b08f41a3aec47cc,443532,1590226,51951411695
160360327,1702648257,1702646771,-1486,0xad8663715b08f41a3aec47cc,443533,1603664,51951411695
160360328,1702648257,1702646771,-1486,0xad8663715b08f41a3aec47cc,443534,1601610,51951411695
160360329,1702648257,1702646771,-1486,0xad8663715b08f41a3aec47cc,443535,1607442,51951411695
160360331,1702648258,1702646771,-1487,0xad8663715b08f41a3aec47cc,443536,1603048,51951411695
160360332,1702648258,1702646771,-1487,0xad8663715b08f41a3aec47cc,443537,1587496,51951411695
160360333,1702648258,1702646771,-1487,0xad8663715b08f41a3aec47cc,443538,1578246,51951411695
160360334,1702648258,1702646771,-1487,0xad8663715b08f41a3aec47cc,443539,1475640,51951411695
160360335,1702648258,1702646771,-1487,0xad8663715b08f41a3aec47cc,443540,1574748,51951411695
160360336,1702648258,1702646771,-1487,0xad8663715b08f41a3aec47cc,443541,1588148,51951411695
160360341,1702648258,1702647491,-767,0xad8663715b08f41a3aec47cc,443542,1604312,51106427516
160360343,1702648258,1702647491,-767,0xad8663715b08f41a3aec47cc,443543,1585052,51106427516
160360344,1702648258,1702647491,-767,0xad8663715b08f41a3aec47cc,443544,1603450,51106427516
160360345,1702648258,1702647491,-767,0xad8663715b08f41a3aec47cc,443545,1604502,51106427516
160360346,1702648258,1702647491,-767,0xad8663715b08f41a3aec47cc,443546,1594212,51106427516
160360347,1702648258,1702647491,-767,0xad8663715b08f41a3aec47cc,443547,1592766,51106427516
160360348,1702648258,1702647503,-755,0xad8663715b08f41a3aec47cc,443548,1584574,57456048074
160360349,1702648258,1702647503,-755,0xad8663715b08f41a3aec47cc,443549,1602004,57456048074
160360350,1702648258,1702647503,-755,0xad8663715b08f41a3aec47cc,443550,1594854,57456048074
160360351,1702648258,1702647503,-755,0xad8663715b08f41a3aec47cc,443551,1596386,57456048074
160363337,1702649008,1702647551,-1457,0xad8663715b08f41a3aec47cc,443552,1573452,59462027121
160363338,1702649008,1702647551,-1457,0xad8663715b08f41a3aec47cc,443553,1593978,59462027121
